🌿 1. Desa Cibodas (Lembang, Bandung Barat, Jawa Barat)
Kondisi Desa
Ketinggian: ±1.250–1.500 mdpl
Suhu: 16–23°C
Tanah: Vulkanik dan sangat subur
Cocok untuk hortikultura dan peternakan
Mayoritas masyarakat bekerja sebagai:
Petani sayuran
Petani stroberi
Peternak sapi perah
Pelaku UMKM olahan pangan

🥦 Pertanian


🥬 Sayuran



🍯 Madu



☕kopi



🧺 Kerajinan



🍪 Snack


No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
17 | Sayuran Siap Masak (Pakcoy Mix) | 500 gr | Rp20.000 | Paket sayuran siap olah. | Praktis, segar. | Pak Dedi Suhendar | 2013 | Pakcoy, sawi, dan sayuran lainnya dipanen pada pagi hari lalu langsung dikemas agar pelanggan dapat menikmati kesegaran hasil panen tanpa harus membersihkan atau memilah kembali.
18 | Stroberi Segar | 500 gr | Rp35.000 | Stroberi merah segar hasil kebun Lembang. | Manis alami, aroma harum. | Ibu Siti Nurhayati | 2012 | Stroberi tumbuh optimal di dataran tinggi Lembang dengan suhu sejuk dan sinar matahari yang cukup. Buah dipetik satu per satu saat matang sempurna sehingga menghasilkan rasa manis dan aroma yang khas.
19 | Stroberi Segar Premium | 500 gr | Rp45.000 | Stroberi ukuran besar pilihan. | Grade premium. | Ibu Siti Nurhayati | 2012 | Hanya buah dengan ukuran besar, warna merah merata, dan tanpa cacat yang dipilih menjadi Grade Premium. Buah ini sering digunakan oleh hotel dan restoran sebagai bahan dessert.
20 | Selai Stroberi Homemade | 250 gr | Rp28.000 | Selai stroberi rumahan. | Tanpa pengawet. | Ibu Lina Marlina | 2016 | Resep selai ini diwariskan secara turun-temurun. Stroberi segar dimasak perlahan dalam jumlah kecil sehingga rasa buah tetap mendominasi tanpa tambahan perasa buatan.
21 | Selai Stroberi Premium | 250 gr | Rp35.000 | Selai premium dengan kandungan buah tinggi. | Mengandung lebih dari 70% buah asli. | Ibu Lina Marlina | 2016 | Menggunakan stroberi Grade Premium yang dipanen dari kebun terbaik Desa Cibodas. Kandungan buah yang tinggi menghasilkan tekstur lebih lembut dan rasa yang lebih autentik.
22 | Sirup Stroberi | 500 ml | Rp30.000 | Sirup buah stroberi asli. | Tanpa pewarna sintetis. | Berry Valley UMKM | 2018 | Sirup dibuat dari sari buah stroberi segar yang dipanen pada musim terbaik. Aroma khas pegunungan tetap terasa di setiap tetesnya.
23 | Sirup Stroberi Premium | 500 ml | Rp38.000 | Sirup premium dengan ekstrak buah lebih banyak. | Rasa lebih pekat. | Berry Valley UMKM | 2018 | Menggunakan buah premium dengan kadar gula alami yang tinggi sehingga menghasilkan rasa yang lebih kaya tanpa perlu banyak tambahan pemanis.
24 | Stroberi Beku (Frozen) | 500 gr | Rp40.000 | Stroberi beku hasil pembekuan cepat. | Cocok untuk smoothie dan dessert. | Cibodas Berry Farm | 2019 | Tidak semua stroberi dapat dijual dalam kondisi segar. Untuk mengurangi limbah pangan, buah yang telah dipanen segera dibekukan menggunakan teknologi quick freezing sehingga warna, rasa, dan kandungan gizinya tetap terjaga. Setiap pembelian produk ini juga membantu mengurangi hasil panen yang terbuang dan mendukung keberlanjutan UMKM lokal.
No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
25 | Kubis Organik | 1 kg | Rp18.000 | Kubis organik segar dengan daun berlapis rapat, tekstur renyah, dan rasa manis alami. Cocok untuk tumisan, sup, salad, maupun olahan fermentasi. | Dibudidayakan tanpa pestisida kimia berlebihan, dipanen setiap pagi, kaya vitamin C dan serat. | Pak Hendra Kusnadi | 2009 | Kubis organik ini tumbuh di lahan pertanian Desa Cibodas pada ketinggian sekitar 1.400 mdpl. Udara pegunungan yang sejuk, kabut pagi, serta tanah vulkanik yang kaya mineral membuat pertumbuhan kubis berlangsung lebih lambat sehingga menghasilkan daun yang lebih padat, renyah, dan memiliki rasa manis alami. Pak Hendra telah mengelola kebunnya selama lebih dari 16 tahun dengan menerapkan rotasi tanaman dan penggunaan pupuk kompos agar kesuburan tanah tetap terjaga. Setiap pembelian kubis ini turut mendukung pertanian ramah lingkungan di dataran tinggi Lembang.
26 | Sawi Hijau | 500 gr | Rp10.000 | Sawi hijau segar dengan daun lebar berwarna hijau cerah dan batang yang renyah. Sangat cocok untuk tumisan, mie, bakso, maupun hotpot. | Dipanen kurang dari 24 jam sebelum dikirim, kaya vitamin A, C, dan kalsium, bebas pengawet. | Ibu Sri Wahyuni | 2014 | Sawi hijau ini ditanam di lereng Desa Cibodas yang memiliki suhu rata-rata 18°C. Kondisi udara yang dingin membantu daun tumbuh lebih tebal dan segar. Setiap pagi sebelum matahari terbit, para petani mulai memanen sawi agar kandungan air di dalam daun tetap terjaga. Tradisi panen pagi ini telah dilakukan turun-temurun untuk memastikan konsumen mendapatkan sayuran dengan kualitas terbaik.
27 | Daun Bawang | 250 gr | Rp8.000 | Daun bawang segar dengan aroma harum dan batang hijau panjang. Cocok sebagai bumbu masakan, taburan sup, bakso, mie, dan berbagai hidangan Nusantara. | Aroma lebih kuat, dipanen segar setiap hari, tanpa bahan pengawet. | Pak Rudi Hartono | 2012 | Daun bawang Desa Cibodas tumbuh subur berkat tanah vulkanik yang kaya unsur hara dan curah hujan yang tinggi sepanjang tahun. Perbedaan suhu siang dan malam membantu pembentukan minyak atsiri alami sehingga menghasilkan aroma yang lebih harum dibandingkan daun bawang dari dataran rendah. Pak Rudi bersama keluarganya telah membudidayakan tanaman ini selama lebih dari satu dekade dan tetap mempertahankan sistem panen manual agar kualitas batang tetap terjaga.
28 | Seledri | 200 gr | Rp7.000 | Seledri segar dengan aroma khas dan daun hijau cerah. Cocok sebagai pelengkap sup, bakso, soto, salad, maupun jus sehat. | Kaya antioksidan, dipanen harian, daun lebih segar dan harum. | Ibu Lilis Suryani | 2015 | Seledri ini dibudidayakan di lahan pertanian yang berada di kaki perbukitan Desa Cibodas. Suhu sejuk serta sinar matahari yang cukup membuat daun tumbuh lebih hijau dengan aroma yang lebih kuat. Ibu Lilis memulai usahanya dari kebun kecil di belakang rumah, kemudian berkembang menjadi pemasok seledri bagi pasar tradisional dan berbagai restoran di kawasan Lembang. Hingga kini, setiap ikat seledri masih dipanen dan dipilih secara manual untuk memastikan kualitas terbaik sampai ke tangan pelanggan.
No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
1 | Madu Kaliandra Murni | 250 ml | Rp75.000 | Madu murni yang dihasilkan dari nektar bunga kaliandra dengan rasa manis ringan dan aroma floral yang khas. | 100% madu murni tanpa campuran, kaya antioksidan, dipanen secara alami. | Pak Eman Supriatna – Cibodas Bee Farm | 2014 | Di lereng Desa Cibodas yang berada pada ketinggian sekitar 1.300 mdpl, hamparan bunga kaliandra tumbuh subur berkat udara sejuk dan tanah vulkanik yang kaya mineral. Lebah mengumpulkan nektar dari ribuan bunga setiap hari, menghasilkan madu berwarna kuning keemasan dengan aroma bunga yang lembut. Pak Eman telah membudidayakan lebah secara ramah lingkungan selama lebih dari satu dekade tanpa menggunakan bahan kimia, sehingga setiap tetes madu tetap murni dan alami.
2 | Madu Kaliandra Murni Premium | 500 ml | Rp145.000 | Madu kaliandra premium dengan kadar air rendah dan kualitas terbaik hasil seleksi panen. | Grade premium, rasa lebih pekat, aroma lebih kuat, cocok sebagai oleh-oleh khas Lembang. | Pak Eman Supriatna – Cibodas Bee Farm | 2014 | Hanya madu dengan kadar air rendah dan tingkat kematangan terbaik yang dipilih sebagai varian Premium. Setiap panen hanya sebagian kecil yang memenuhi standar ini sehingga kualitas rasa, aroma, dan kekentalannya lebih istimewa. Produk ini menjadi salah satu madu favorit wisatawan yang berkunjung ke kawasan Lembang.
3 | Madu Multiflora | 250 ml | Rp70.000 | Madu alami yang dihasilkan dari berbagai jenis bunga liar di kawasan pegunungan Lembang. | Rasa lebih kompleks, kaya vitamin dan mineral alami, tanpa tambahan gula. | Ibu Nia Kartika – Lembang Honey | 2016 | Lebah tidak hanya mengunjungi satu jenis bunga. Mereka terbang bebas melewati kebun stroberi, tanaman hortikultura, bunga liar, hingga pepohonan hutan kecil di sekitar Desa Cibodas. Perpaduan nektar dari berbagai bunga inilah yang menghasilkan madu multiflora dengan rasa unik yang berbeda di setiap musim panen.
4 | Madu Multiflora Premium | 500 ml | Rp135.000 | Madu multiflora pilihan dengan kandungan nektar lebih kaya dan kualitas premium. | Dipanen saat musim bunga terbaik, tekstur lebih kental, aroma alami lebih kuat. | Ibu Nia Kartika – Lembang Honey | 2016 | Pada musim bunga bermekaran, lebah menghasilkan madu dengan aroma dan cita rasa yang lebih kaya. Varian Premium berasal dari panen terbaik pada musim tersebut dan hanya dikemas dalam jumlah terbatas untuk menjaga kualitasnya.
5 | Honey Lemon | 350 ml | Rp48.000 | Minuman kesehatan berbahan madu murni dan sari lemon segar yang siap dikonsumsi. | Menyegarkan, kaya vitamin C, membantu menjaga daya tahan tubuh. | UMKM HoneyFresh Cibodas | 2019 | Berawal dari kebiasaan masyarakat Desa Cibodas mengonsumsi madu hangat saat udara dingin, UMKM HoneyFresh mengembangkan minuman Honey Lemon sebagai minuman praktis yang tetap mempertahankan manfaat madu alami. Lemon segar dipilih dari kebun lokal dan dipadukan dengan madu kaliandra murni sehingga menghasilkan rasa manis, segar, dan sedikit asam yang menyenangkan.
6 | Honey Ginger | 350 ml | Rp52.000 | Minuman herbal berbahan madu murni dan ekstrak jahe pilihan khas dataran tinggi. | Menghangatkan tubuh, cocok diminum saat cuaca dingin, tanpa bahan pengawet. | UMKM HoneyFresh Cibodas | 2019 | Udara sejuk Desa Cibodas sering kali membuat masyarakat menikmati minuman hangat di pagi atau malam hari. Dari kebiasaan inilah lahir Honey Ginger, perpaduan madu kaliandra dengan jahe segar yang ditanam di lahan pegunungan. Minuman ini menjadi favorit wisatawan karena memberikan sensasi hangat alami sekaligus memperkenalkan cita rasa khas hasil bumi Lembang.
No | Produk | Berat | Harga | Deskripsi Produk | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
1 | Arabika Lembang Roasted Bean | 250 gr | Rp75.000 | Biji kopi Arabika premium yang telah melalui proses sangrai (medium roast) sehingga menghasilkan aroma floral dan cita rasa seimbang dengan sedikit sentuhan karamel. Cocok untuk metode seduh V60, French Press, maupun Espresso. | ✔ 100% Arabika Lembang✔ Medium Roast✔ Aroma floral dan fruity✔ Dipanggang dalam batch kecil agar kualitas tetap terjaga | Pak Hendra Kurniawan | 2011 | Kopi ini berasal dari kebun kopi di lereng utara Lembang pada ketinggian sekitar 1.400 mdpl. Udara yang sejuk (16–22°C), tanah vulkanik yang kaya mineral, dan kabut pagi yang rutin menyelimuti perkebunan membuat buah kopi matang lebih lambat sehingga menghasilkan rasa yang lebih kompleks dan aroma yang khas. Pak Hendra telah membudidayakan kopi Arabika bersama keluarganya selama lebih dari satu dekade dengan menerapkan panen selektif, yaitu hanya memetik buah berwarna merah sempurna agar kualitas setiap cangkir kopi tetap terjaga.
2 | Arabika Lembang Roasted Bean Premium | 500 gr | Rp145.000 | Biji kopi Arabika Grade Specialty dengan kualitas terbaik hasil seleksi manual. Memiliki body yang lebih penuh, tingkat keasaman seimbang, serta aftertaste yang manis. | ✔ Specialty Grade✔ Dipilih dari cherry terbaik✔ Cocok untuk café dan coffee shop | Pak Hendra Kurniawan | 2011 | Tidak semua buah kopi dapat menjadi kopi premium. Dari ribuan buah yang dipanen, hanya biji dengan ukuran seragam, tingkat kematangan sempurna, dan bebas cacat yang dipilih menjadi Arabika Premium. Setelah dipetik, kopi diproses secara hati-hati dan disangrai dalam jumlah kecil untuk mempertahankan karakter asli kopi pegunungan Lembang.
3 | Green Bean Arabika | 500 gr | Rp90.000 | Biji kopi Arabika mentah (green bean) yang telah melalui proses pencucian dan pengeringan alami. Cocok untuk roastery maupun pecinta kopi yang ingin melakukan proses roasting sendiri. | ✔ Kadar air terkontrol✔ Diproses secara natural✔ Siap untuk roasting | Kelompok Tani Kopi Cibodas | 2014 | Sebelum menjadi secangkir kopi nikmat, setiap biji kopi melalui proses panjang mulai dari pemetikan buah merah, pencucian, fermentasi alami, hingga pengeringan di bawah sinar matahari pegunungan. Green Bean ini mempertahankan karakter asli kopi Lembang sehingga para roaster dapat mengembangkan profil rasa sesuai preferensi mereka.
4 | Drip Bag Coffee (10 pcs) | 100 gr (10 x 10 gr) | Rp68.000 | Kopi Arabika dalam kemasan drip bag praktis yang dapat langsung diseduh tanpa alat khusus. Cocok untuk dinikmati saat bekerja, bepergian, maupun di rumah. | ✔ Praktis diseduh✔ Aroma tetap terjaga✔ Tanpa gula dan bahan tambahan | Cibodas Coffee House | 2019 | Berawal dari banyaknya wisatawan yang ingin menikmati kopi Lembang di mana saja, UMKM Cibodas Coffee House menghadirkan kopi dalam bentuk drip bag. Meskipun praktis, setiap sachet tetap menggunakan kopi Arabika pilihan yang baru digiling sebelum dikemas sehingga aroma dan cita rasanya tetap terjaga. Dengan membeli produk ini, Anda turut mendukung petani kopi lokal serta UMKM yang mengolah hasil panen menjadi produk bernilai tinggi.
5 | Cold Brew Coffee Concentrate | 500 ml | Rp85.000 | Konsentrat kopi Arabika yang diekstraksi menggunakan metode cold brew selama 18 jam sehingga menghasilkan rasa lebih lembut, rendah keasaman, dan aroma yang kaya. Dapat disajikan dingin maupun dicampur susu. | ✔ Ekstraksi 18 jam✔ Low Acidity✔ Tanpa pengawet✔ Siap diminum | Lembang Brew Co. | 2021 | Cold Brew ini dibuat dari biji kopi Arabika yang ditanam di dataran tinggi Desa Cibodas. Proses ekstraksi dingin selama 18 jam menghasilkan cita rasa yang lebih halus dibandingkan kopi seduh biasa. Setiap botol dibuat dalam jumlah terbatas menggunakan air pegunungan yang jernih agar karakter kopi tetap autentik. Produk ini menjadi bukti bagaimana hasil panen kopi lokal dapat diolah menjadi minuman modern tanpa menghilangkan identitas asalnya.
No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Pengrajin / UMKM | Sejak | Cerita Produk
1 | Keranjang Bambu | ±800 gr | Rp75.000 | Keranjang anyaman bambu buatan tangan yang cocok digunakan sebagai wadah buah, hampers, atau dekorasi rumah. | Dibuat 100% secara handmade menggunakan bambu pilihan, kuat, ringan, dan ramah lingkungan. | Pak Ujang Suryana | 2012 | Di lereng Desa Cibodas, bambu tumbuh subur berkat udara pegunungan yang sejuk dan curah hujan yang tinggi. Pak Ujang memanfaatkan bambu yang telah berumur lebih dari tiga tahun agar seratnya lebih kuat dan tahan lama. Setiap keranjang dianyam secara manual selama 6–8 jam menggunakan teknik tradisional yang diwariskan dari orang tuanya. Dengan membeli produk ini, Anda turut membantu melestarikan kerajinan anyaman bambu khas masyarakat Lembang yang mulai jarang ditekuni generasi muda.
2 | Besek | ±350 gr | Rp28.000 | Besek bambu tradisional yang biasa digunakan sebagai wadah makanan, hantaran, maupun kemasan produk UMKM. | Ramah lingkungan, dapat digunakan kembali, dan menjadi pengganti kemasan plastik. | Ibu Sari Nurjanah | 2015 | Besek ini dibuat dari bilah bambu yang dipotong tipis lalu dijemur secara alami sebelum dianyam satu per satu. Proses tersebut membuat anyaman lebih lentur dan tidak mudah patah. Bagi masyarakat Desa Cibodas, besek bukan sekadar wadah, tetapi simbol kebersamaan yang sering digunakan saat acara adat maupun pembagian hasil panen kepada tetangga.
3 | Pot Tanaman | ±1,2 kg | Rp95.000 | Pot tanaman berbahan kayu pinus lokal yang dirancang dengan desain minimalis untuk tanaman hias maupun tanaman herbal. | Menggunakan kayu pinus berkualitas, finishing natural, tahan lama, dan cocok untuk dekorasi rumah. | Pak Yayan Kurnia | 2018 | Kayu pinus yang digunakan berasal dari kawasan hutan produksi di sekitar Lembang dan dipilih dari pohon yang telah memenuhi usia tebang sesuai prinsip pengelolaan hutan berkelanjutan. Setiap pot dipotong, dirakit, dan diamplas secara manual sehingga memiliki karakter serat kayu yang unik. Banyak wisatawan menjadikan produk ini sebagai oleh-oleh khas karena menghadirkan nuansa alami pegunungan Cibodas ke dalam rumah mereka.
4 | Rak Mini | ±2 kg | Rp165.000 | Rak serbaguna berbahan kayu pinus yang dapat digunakan untuk menyimpan tanaman kecil, bumbu dapur, buku, atau dekorasi ruangan. | Desain minimalis, kokoh, handmade, dan menggunakan kayu lokal berkualitas. | Pak Eko Firmansyah | 2016 | Awalnya Pak Eko merupakan seorang petani sayuran. Ketika musim panen selesai, ia memanfaatkan waktu luangnya untuk membuat rak kayu sederhana dari sisa kayu pinus yang tidak terpakai. Seiring meningkatnya minat masyarakat terhadap dekorasi bergaya natural, usaha kecil tersebut berkembang menjadi salah satu UMKM kerajinan unggulan Desa Cibodas. Setiap rak dibuat secara manual selama 1–2 hari dengan tetap mempertahankan tekstur alami kayu sehingga setiap produk memiliki corak yang berbeda dan tidak ada yang benar-benar sama.
No | Produk | Berat | Harga | Deskripsi Singkat | Keunggulan | Petani / UMKM | Sejak | Cerita Produk
1 | Keripik Brokoli Original | 150 gr | Rp22.000 | Keripik sehat berbahan brokoli segar pilihan dengan cita rasa gurih alami. | Dibuat dari brokoli Grade A, rendah minyak, tanpa pengawet, kaya serat dan vitamin. | UMKM Cibodas Green Snack (Ibu Rina Handayani) | 2019 | Brokoli yang dipanen dari dataran tinggi Desa Cibodas tidak semuanya memiliki ukuran yang sesuai standar supermarket. Agar hasil panen tetap bernilai dan tidak terbuang sia-sia, para ibu rumah tangga mengolah brokoli pilihan menjadi keripik renyah. Kini camilan sehat ini menjadi salah satu oleh-oleh khas Lembang sekaligus membantu mengurangi limbah pangan dan meningkatkan pendapatan petani lokal.
2 | Keripik Bayam Original | 120 gr | Rp18.000 | Keripik bayam dengan tekstur renyah dan rasa gurih alami. | Menggunakan bayam segar panen pagi, tanpa pewarna buatan, kaya zat besi dan serat. | UMKM Lestari Cibodas (Ibu Yayah Suryani) | 2018 | Bayam yang tumbuh di udara sejuk Desa Cibodas memiliki daun yang lebih lebar dan segar berkat tanah vulkanik yang kaya mineral. Daun-daun pilihan dipetik saat matahari belum terlalu tinggi agar kesegarannya tetap terjaga sebelum diolah menjadi keripik yang renyah dan bergizi.
3 | Keripik Kentang Original | 180 gr | Rp20.000 | Keripik kentang tipis dengan rasa gurih alami khas kentang dataran tinggi. | Menggunakan kentang Granola pilihan, tanpa bahan pengawet, renyah lebih lama. | UMKM Cibodas Crispy (Pak Irfan Hidayat) | 2017 | Kentang yang tumbuh di dataran tinggi Lembang memiliki kadar air lebih rendah sehingga menghasilkan tekstur yang padat dan renyah saat digoreng. Setiap kentang diiris tipis menggunakan alat khusus, lalu dimasak dengan suhu yang terkontrol agar menghasilkan kerenyahan sempurna tanpa menghilangkan cita rasa alami kentang pegunungan.
4 | Dodol Stroberi | 250 gr | Rp32.000 | Dodol tradisional dengan rasa manis alami dari stroberi segar Lembang. | Mengandung buah stroberi asli, tekstur lembut, tanpa pewarna sintetis. | UMKM Berry Lembang (Ibu Lina Marlina) | 2016 | Saat musim panen raya, sebagian stroberi matang tidak dapat dijual sebagai buah segar karena umur simpannya yang pendek. Agar hasil panen tetap bernilai ekonomi, masyarakat Desa Cibodas mengolahnya menjadi dodol stroberi dengan resep turun-temurun. Perpaduan buah segar dan proses memasak perlahan menghasilkan rasa manis alami yang menjadi favorit wisatawan.
5 | Permen Stroberi | 100 gr | Rp16.000 | Permen buah dengan ekstrak stroberi asli yang menyegarkan. | Menggunakan sari buah stroberi lokal, rasa buah lebih dominan, praktis dibawa bepergian. | UMKM Berry Valley (Ibu Siti Nurhayati) | 2020 | Terinspirasi dari melimpahnya hasil panen stroberi di Desa Cibodas, para pelaku UMKM menciptakan permen stroberi sebagai camilan praktis yang dapat dinikmati kapan saja. Setiap butir permen dibuat dari sari buah stroberi asli sehingga menghadirkan aroma khas dataran tinggi Lembang dalam setiap gigitan.
6 | Stik Sayuran | 180 gr | Rp24.000 | Camilan sehat berbahan campuran bayam, wortel, brokoli, dan pakcoy. | Menggunakan sayuran segar lokal, tanpa pengawet, kaya serat dan vitamin. | UMKM Sehat Lestari Cibodas (Ibu Dewi Kartika) | 2021 | Stik sayuran lahir dari semangat masyarakat Desa Cibodas untuk mengolah hasil panen hortikultura menjadi camilan yang disukai semua kalangan, terutama anak-anak. Campuran brokoli, bayam, wortel, dan pakcoy dipilih langsung dari kebun petani lokal, kemudian diolah menjadi stik renyah tanpa menghilangkan cita rasa alami sayuran. Setiap pembelian produk ini turut mendukung keberlanjutan UMKM desa dan mengurangi potensi terbuangnya hasil panen segar.
